"Suburbs","PostCode","SoilType","DominantSoils","SoilPH","Crops","crops_photo1"
"Bena","3946","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Cucumber","/crops photo/cucumber.jpg"
"Bena","3946","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Eggplant","/crops photo/eggplant.jpg"
"Bena","3946","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Potato","/crops photo/potato.jpg"
"Bena","3946","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Tomato","/crops photo/tomato.jpg"
"Bena","3946","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Zucchini","/crops photo/zucchini2.jpg"
"Berrys Creek","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Rice","/crops photo/rice.jpg"
"Berrys Creek","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Cucumber","/crops photo/cucumber.jpg"
"Berrys Creek","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Eggplant","/crops photo/eggplant.jpg"
"Berrys Creek","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Potato","/crops photo/potato.jpg"
"Berrys Creek","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Tomato","/crops photo/tomato.jpg"
"Hallston","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Eggplant","/crops photo/eggplant.jpg"
"Hallston","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Potato","/crops photo/potato.jpg"
"Hallston","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Tomato","/crops photo/tomato.jpg"
"Hallston","3953","Strzelecki","Acidic Grey, Yellow and Brown Dermosols","5.9","Zucchini","/crops photo/zucchini2.jpg"
"Hazel Park","3966","Agnes","Yellow Kandosols","5.5","Rice","/crops photo/rice.jpg"
"Hazel Park","3966","Agnes","Yellow Kandosols","5.5","Cucumber","/crops photo/cucumber.jpg"
"Hazel Park","3966","Agnes","Yellow Kandosols","5.5","Eggplant","/crops photo/eggplant.jpg"
"Hazel Park","3966","Agnes","Yellow Kandosols","5.5","Potato","/crops photo/potato.jpg"
