,Suburbs,Post Code,Latitude,Longitude,Temperature,Description,Wind,soil_type,landform,geology
24,Corinella,3984,-38.32,145.56,285.04,clear sky,5.36,Monomeith with sandy rises,Pleistocene (late) sediments,"Grey, Yellow and Brown Sodosols"
25,Coronet Bay,3984,-38.32,145.56,285.04,clear sky,5.36,Monomeith with sandy rises,Pleistocene (late) sediments,"Grey, Yellow and Brown Sodosols"
26,Cowes,3922,-38.46,145.08,285.38,clear sky,8.31,Not Available,Not Available,Not Available
27,Crossover,3821,-38.08,146.0,282.01,clear sky,0.45,riverine,Recent sediments,Not Available
28,Dalyston,3992,-38.53,145.58,284.08,clear sky,5.79,Strzelecki,Cretaceous sediments,"Acidic Grey, Yellow and Brown Dermosols"
29,Darnum,3822,-38.23,145.97,281.85,clear sky,0.45,Yarragon,Pleistocene (late) sediments,Not Available
30,Delburn,3871,-38.33,146.23,281.8,clear sky,1.85,Silver Creek with Warragul,Tertiary sediments & Tertiary basalts,Not Available
31,Delburn,3871,-38.33,146.23,281.8,clear sky,1.85,Silver Creek with Warragul,Tertiary sediments & Tertiary basalts,Not Available
32,Delburn,3871,-38.33,146.23,281.8,clear sky,1.85,Silver Creek with Warragul,Tertiary sediments & Tertiary basalts,Not Available
33,Dollar,3871,-38.33,146.23,281.8,clear sky,1.85,Silver Creek with Warragul,Tertiary sediments & Tertiary basalts,Not Available
34,Driffield,3840,-38.3,146.48,281.48,clear sky,1.02,Boolarra with Morwell,Tertiary (Pliocene) sediments,Acidic Yellow and Grey Dermosols & Kurosols/Acidic Yellow and Grey Kurosols
35,Drouin,3818,-38.2,145.77,283.24,clear sky,0.45,Ripplebrock,Recent sediments,Redoxic Hydrosols
36,Drouin West,3818,-38.2,145.77,283.27,clear sky,0.45,Ripplebrock,Recent sediments,Redoxic Hydrosols
37,Dumbalk,3956,-38.58,145.98,280.99,clear sky,0.45,Inverloch,Tertiary sediments,Parapanic Podosols with Grey Kurosols
